univ,id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,p1,p2,p3
2,26,2,2,5,3,3,4,4,3,4,4,5,4,4,4,4,4,2,2,5,4,2,4,5
2,27,4,3,3,3,2,2,4,1,3,4,4,3,2,4,4,2,2,3,3,4,2,1,5
2,28,2,3,3,2,3,3,3,2,4,2,4,2,2,2,3,3,2,3,4,3,2,1,2
2,29,2,2,4,2,3,3,5,3,4,3,4,2,3,4,4,3,3,2,5,4,2,1,1
2,30,4,2,4,2,4,4,2,4,4,2,4,4,1,4,4,4,4,4,5,2,2,1,5
2,31,3,4,4,2,5,5,5,3,3,2,5,4,2,4,2,4,1,4,5,2,2,4,1
2,32,4,4,3,4,5,5,4,3,4,4,5,3,2,4,4,4,2,3,4,4,2,1,3
2,33,2,3,4,3,3,2,4,2,3,1,4,3,2,4,4,2,2,5,4,4,2,1,1
2,34,2,4,5,3,5,4,5,3,4,3,4,3,3,5,4,2,2,4,5,4,2,1,1
2,35,3,3,4,2,3,2,4,2,3,2,2,4,1,4,4,2,2,4,2,4,2,1,5
2,36,3,2,2,2,3,4,4,2,2,2,4,4,2,3,3,4,2,4,4,4,2,1,1
2,37,3,2,4,2,3,4,4,2,2,2,4,2,2,4,2,3,2,4,4,4,2,4,2
2,38,2,4,5,2,2,3,4,3,2,2,5,4,3,4,4,4,3,4,5,3,2,4,5
2,39,1,2,3,1,3,1,4,3,1,2,4,4,1,4,5,1,2,2,4,3,2,1,5
2,40,3,1,2,3,5,4,5,2,3,3,2,4,1,5,5,1,1,3,2,4,2,1,5
2,41,4,3,3,3,5,2,5,4,4,3,5,4,4,3,5,1,3,1,4,4,2,3,5
2,42,3,4,2,3,4,2,4,2,2,2,2,4,2,4,4,2,4,4,2,5,2,1,1
2,43,3,3,4,3,2,4,4,2,4,4,4,4,3,4,2,3,3,4,4,4,2,1,3
2,44,2,4,4,2,4,2,4,2,2,2,2,4,3,5,3,4,2,4,2,3,3,1,2
2,45,3,2,2,2,4,3,3,3,3,2,4,3,2,3,4,2,1,3,3,5,3,1,5
2,46,3,3,4,4,4,4,4,2,4,4,4,3,2,5,5,3,2,3,4,4,3,1,5
2,47,3,4,5,2,4,4,4,2,3,3,5,2,4,4,4,4,2,3,5,3,3,1,5
2,48,2,3,2,3,5,4,5,4,5,5,5,3,2,4,4,5,2,2,5,5,3,1,1
2,49,2,2,4,3,4,3,5,2,4,2,4,2,2,4,3,2,2,4,4,5,3,3,2
2,50,4,2,2,3,2,4,5,2,3,2,3,4,3,4,4,2,2,4,2,4,3,4,2
2,51,1,5,3,2,4,4,4,1,3,1,3,5,4,4,4,3,3,4,4,2,3,1,5
2,52,3,4,3,2,3,3,4,2,3,2,3,4,1,4,4,2,3,4,2,5,3,1,5
